student_id,attendance,previous_percentage,assignment_score,quiz_score,internal_marks,study_hours,completed_assignments,completed_quizzes,performance_category
STU1360,69.4,63.6,63.7,60.4,61.0,21.4,7,4,Average Performance
STU1361,78.5,82.2,77.5,57.8,74.3,23.5,9,4,Average Performance
STU1362,80.7,82.5,77.3,76.5,85.7,19.1,9,4,High Performance
STU1363,83.6,78.0,65.5,60.1,61.5,19.6,6,4,Average Performance
STU1364,75.3,79.2,84.6,64.0,75.1,15.4,9,4,Average Performance
STU1365,51.5,57.0,49.0,31.5,46.0,11.2,5,3,At Risk
STU1366,65.4,61.5,61.0,57.2,62.8,18.6,7,3,Average Performance
STU1367,78.2,80.6,75.1,71.9,72.0,16.5,6,4,Average Performance
STU1368,77.1,81.2,70.2,62.1,57.1,13.2,7,3,Average Performance
STU1369,82.9,79.4,77.7,83.1,85.7,16.4,8,4,High Performance
STU1370,75.6,81.5,64.4,68.1,71.9,12.6,8,3,Average Performance
STU1371,79.8,71.5,50.5,68.2,55.0,11.1,7,3,Average Performance
STU1372,76.8,85.8,82.7,77.1,79.1,19.7,8,5,High Performance
STU1373,69.2,73.1,66.1,67.0,74.4,10.1,7,4,Average Performance
STU1374,72.7,77.0,63.3,56.6,69.0,15.4,7,4,Average Performance
STU1375,80.6,92.1,88.9,82.8,90.8,26.6,9,4,High Performance
STU1376,63.2,75.6,57.4,50.7,55.4,7.7,7,3,Average Performance
STU1377,84.2,70.0,72.4,71.1,72.1,21.9,7,4,Average Performance
STU1378,79.5,82.0,64.9,72.9,71.0,20.1,5,4,Average Performance
STU1379,75.0,70.9,62.4,64.8,70.4,19.6,7,3,Average Performance
STU1380,62.7,65.9,65.2,62.1,61.3,11.4,6,3,Average Performance
STU1381,74.4,78.1,66.0,84.3,72.3,20.9,6,4,High Performance
STU1382,69.2,72.1,63.9,57.1,67.0,10.1,6,3,Average Performance
STU1383,82.7,98.0,79.5,65.9,75.7,23.9,9,3,High Performance
STU1384,68.0,59.4,50.9,49.9,57.7,10.3,7,3,At Risk
STU1385,82.4,73.4,74.4,72.5,71.9,20.1,8,5,Average Performance
STU1386,65.5,73.5,62.0,68.6,66.4,10.1,6,3,Average Performance
STU1387,80.6,68.7,76.4,64.7,68.9,14.4,8,3,Average Performance
STU1388,85.5,82.0,75.8,72.4,76.2,21.8,8,4,Average Performance
STU1389,77.0,70.3,51.0,60.2,53.2,10.2,6,4,At Risk
STU1390,87.3,81.8,67.8,80.3,72.7,19.2,7,5,High Performance
STU1391,55.1,66.1,50.5,42.7,44.1,4.5,4,2,At Risk
STU1392,59.5,61.9,53.7,53.2,58.5,14.8,6,4,Average Performance
STU1393,74.0,80.8,75.0,90.0,84.6,14.1,8,5,High Performance
STU1394,73.7,71.3,72.4,63.0,62.3,18.4,7,4,Average Performance
STU1395,90.1,81.6,81.0,86.6,89.9,24.1,9,5,High Performance
STU1396,84.9,80.5,63.2,81.1,83.6,15.1,7,5,Average Performance
STU1397,71.5,65.6,66.5,55.1,63.6,17.1,8,4,Average Performance
STU1398,72.2,72.1,61.2,64.5,63.0,16.8,6,3,Average Performance
STU1399,75.1,69.2,64.5,60.9,76.7,13.6,8,4,Average Performance
STU1400,66.8,74.6,60.7,64.4,59.3,10.7,6,3,Average Performance
STU1401,78.7,75.2,56.2,48.2,55.5,4.3,5,3,At Risk
STU1402,71.5,74.6,72.8,78.6,77.6,20.2,7,4,Average Performance
STU1403,82.2,71.8,77.3,81.0,84.6,12.5,8,4,Average Performance
STU1404,98.9,86.1,95.8,91.0,92.6,21.7,10,5,High Performance
STU1405,77.5,77.5,70.7,72.1,70.6,16.1,8,4,Average Performance
STU1406,83.9,86.1,86.4,70.6,76.3,23.3,10,3,High Performance
STU1407,71.5,71.4,66.3,57.6,63.4,14.3,8,3,Average Performance
STU1408,73.5,73.5,59.7,76.4,65.3,14.6,6,4,Average Performance
STU1409,95.2,88.8,81.3,81.8,83.1,24.3,9,5,High Performance
STU1410,70.3,88.8,75.7,76.1,75.6,21.3,8,5,High Performance
STU1411,92.0,73.0,84.6,80.2,76.1,20.8,10,4,High Performance
STU1412,54.7,61.4,63.1,54.9,64.2,12.7,5,5,Average Performance
STU1413,76.7,79.4,72.3,65.8,69.3,11.4,9,4,Average Performance
STU1414,82.6,80.6,83.1,75.4,75.6,23.7,10,5,High Performance
STU1415,85.5,90.7,81.7,72.4,77.4,21.7,10,4,High Performance
STU1416,72.8,79.2,79.0,80.5,80.4,15.3,8,5,High Performance
STU1417,89.1,86.1,87.6,86.8,79.7,20.2,10,5,High Performance
STU1418,79.0,69.7,71.2,65.4,68.3,12.4,9,4,Average Performance
STU1419,66.0,71.2,54.5,70.3,61.0,15.2,7,4,Average Performance
STU1420,88.0,77.6,66.1,84.8,85.4,22.7,7,5,Average Performance
STU1421,78.7,80.6,68.5,74.9,76.7,25.3,6,4,High Performance
STU1422,61.6,64.2,56.1,44.9,50.3,13.3,6,2,At Risk
STU1423,59.6,57.8,35.0,55.3,45.3,4.0,3,3,At Risk
STU1424,68.8,68.5,50.3,66.4,61.5,17.6,7,4,Average Performance
STU1425,81.2,82.9,76.1,68.7,76.1,22.9,8,4,High Performance
STU1426,82.0,69.5,65.2,58.1,63.6,16.0,7,4,Average Performance
STU1427,73.1,71.7,64.0,63.3,65.3,20.2,8,5,Average Performance
STU1428,74.5,70.9,58.1,61.8,62.4,22.0,7,3,Average Performance
STU1429,69.4,81.0,69.9,67.9,68.4,21.1,9,3,High Performance
STU1430,53.8,71.5,45.8,51.2,49.3,10.2,4,3,At Risk
STU1431,85.6,86.9,74.3,75.4,68.5,23.7,8,4,High Performance
STU1432,85.7,82.6,71.5,72.6,76.8,17.5,7,3,Average Performance
STU1433,83.1,78.4,64.2,76.5,74.3,18.9,9,5,Average Performance
STU1434,60.1,56.8,48.9,55.7,51.0,8.9,6,3,At Risk
STU1435,73.4,73.7,63.0,66.2,74.1,21.7,8,4,Average Performance
STU1436,80.4,88.5,86.6,71.1,81.7,18.6,10,3,High Performance
STU1437,77.8,68.8,61.0,65.2,61.6,21.9,6,3,Average Performance
STU1438,88.8,82.6,87.5,79.4,86.5,21.9,10,4,High Performance
STU1439,74.5,79.2,65.5,59.3,67.8,11.5,9,2,Average Performance
STU1440,66.4,71.0,62.4,62.5,65.2,15.0,7,4,Average Performance
STU1441,93.5,94.4,94.7,91.4,90.9,15.2,10,5,High Performance
STU1442,78.4,82.4,78.8,93.8,86.0,21.3,6,5,High Performance
STU1443,89.1,86.9,84.3,96.0,88.7,26.1,9,5,High Performance
STU1444,80.3,65.2,59.7,59.9,63.5,10.5,6,3,Average Performance
STU1445,63.2,58.7,49.1,53.3,46.6,12.0,7,3,At Risk
STU1446,79.9,91.0,61.8,86.6,74.4,27.1,7,5,High Performance
STU1447,75.9,79.8,81.5,81.2,87.3,16.2,9,5,High Performance
STU1448,80.3,74.7,73.4,56.1,64.4,12.2,9,2,Average Performance
STU1449,81.8,78.3,86.2,68.1,76.1,25.5,9,3,High Performance
STU1450,69.2,87.8,58.8,60.2,61.1,23.1,7,3,Average Performance
STU1451,75.6,62.3,57.5,41.4,49.1,12.9,5,4,At Risk
STU1452,75.1,64.4,63.4,60.6,53.6,16.4,5,4,At Risk
STU1453,75.4,81.0,78.6,74.3,75.7,23.2,9,5,High Performance
STU1454,55.9,70.1,61.6,58.2,61.7,9.6,7,2,Average Performance
STU1455,93.0,91.7,84.3,73.9,81.0,19.5,9,3,High Performance
STU1456,77.8,91.0,68.8,73.3,73.3,24.1,8,5,High Performance
STU1457,88.5,86.3,78.7,76.9,79.4,26.8,6,4,High Performance
STU1458,75.8,82.3,78.9,68.2,81.6,24.0,8,3,High Performance
STU1459,84.7,78.0,81.8,75.4,77.5,14.5,10,4,Average Performance
STU1460,64.0,72.8,53.3,65.9,60.0,22.4,6,4,Average Performance
STU1461,70.0,75.9,50.4,59.2,55.9,9.8,6,3,Average Performance
STU1462,77.8,70.7,82.5,60.3,75.0,16.0,9,3,Average Performance
STU1463,61.4,73.1,52.8,55.1,62.6,14.0,5,3,Average Performance
STU1464,65.2,68.5,68.0,47.2,57.2,19.1,7,3,Average Performance
STU1465,70.4,70.5,59.2,52.2,58.3,15.7,7,2,Average Performance
STU1466,82.2,81.0,67.1,78.0,76.2,20.7,8,4,High Performance
STU1467,76.7,69.0,77.7,69.2,68.7,17.2,10,4,Average Performance
STU1468,87.2,79.1,61.7,68.5,67.6,16.5,6,4,Average Performance
STU1469,58.0,70.7,64.1,57.7,56.1,15.0,7,3,Average Performance
STU1470,80.4,75.6,63.7,68.0,59.4,4.1,7,3,Average Performance
STU1471,83.1,82.4,72.2,74.1,77.0,18.2,9,4,High Performance
STU1472,57.4,59.8,54.7,37.4,48.5,11.7,6,1,At Risk
STU1473,73.7,73.9,84.4,68.5,78.4,14.5,7,4,High Performance
STU1474,84.2,89.4,85.2,79.1,82.7,22.3,9,5,High Performance
STU1475,86.5,83.1,69.2,68.7,68.2,18.0,6,3,High Performance
STU1476,68.3,64.2,67.4,63.4,65.4,20.5,7,3,Average Performance
STU1477,84.7,72.9,71.8,67.2,65.8,22.7,8,4,Average Performance
STU1478,59.8,66.2,62.6,59.9,68.1,11.4,7,4,Average Performance
STU1479,73.3,65.9,63.1,58.4,58.4,14.8,8,3,Average Performance
STU1480,70.7,74.1,74.3,62.3,69.9,17.3,8,3,Average Performance
STU1481,81.5,73.6,79.3,60.7,68.1,16.2,8,2,Average Performance
STU1482,85.4,78.0,67.8,64.3,72.0,19.1,7,4,High Performance
STU1483,68.6,67.5,68.2,76.2,69.8,11.4,6,5,Average Performance
STU1484,53.1,60.6,63.8,52.5,58.4,8.8,8,3,At Risk
STU1485,87.4,96.4,81.8,84.1,87.1,23.6,10,4,High Performance
STU1486,82.6,86.3,79.8,65.7,74.5,20.9,8,4,High Performance
STU1487,87.6,81.3,81.1,82.7,84.6,17.4,9,4,High Performance
STU1488,90.5,84.5,81.5,80.5,77.3,23.3,8,4,High Performance
STU1489,56.8,65.3,55.4,58.2,52.1,8.4,7,4,At Risk
STU1490,89.3,91.2,82.3,78.2,81.9,21.7,9,5,High Performance
STU1491,82.3,71.0,75.3,69.7,71.4,19.5,9,4,Average Performance
STU1492,77.2,93.4,83.7,74.4,84.0,21.7,8,4,High Performance
STU1493,73.4,68.8,51.4,62.9,60.4,16.4,6,4,Average Performance
STU1494,90.6,87.0,88.1,99.7,94.6,22.3,10,5,High Performance
STU1495,76.6,80.7,76.7,69.2,67.1,16.2,8,3,Average Performance
STU1496,76.1,80.4,65.8,67.1,75.6,14.8,7,4,Average Performance
STU1497,79.9,95.7,74.8,70.3,74.6,16.6,8,4,High Performance
STU1498,62.2,60.3,52.7,51.8,58.3,11.5,7,2,At Risk
STU1499,66.5,69.7,54.1,48.0,51.3,6.0,7,2,At Risk
